ticker,status,exchange,subindustry
URI,COMPLIANT,NYSE,Trading Companies & Distributors
UTHR,NON_COMPLIANT,NASDAQ,Biotechnology
VIAV,NON_COMPLIANT,NASDAQ,Communications Equipment
VICR,COMPLIANT,NASDAQ,Electrical Components & Equipment
VIK,COMPLIANT,NYSE,"Hotels, Resorts & Cruise Lines"
VLTO,COMPLIANT,NYSE,Environmental & Facilities Services
VMC,COMPLIANT,NYSE,Construction Materials
VMI,COMPLIANT,NYSE,Construction & Engineering
VMRK,UNKNOWN,,
VRSN,COMPLIANT,NASDAQ,Internet Services & Infrastructure
VRT,COMPLIANT,NYSE,Electrical Components & Equipment
VRTX,COMPLIANT,NASDAQ,Biotechnology
WAB,COMPLIANT,NYSE,Construction Machinery & Heavy Transportation Equipment
WAT,COMPLIANT,NYSE,Life Sciences Tools & Services
WDAY,NON_COMPLIANT,NASDAQ,Application Software
WDC,COMPLIANT,NASDAQ,"Technology Hardware, Storage & Peripherals"
WELL,COMPLIANT,NYSE,Health Care REITs
WFRD,COMPLIANT,NASDAQ,Oil & Gas Equipment & Services
WING,NON_COMPLIANT,NASDAQ,Restaurants
WLK,NON_COMPLIANT,NYSE,Commodity Chemicals
WM,COMPLIANT,NYSE,Environmental & Facilities Services
WMS,COMPLIANT,NYSE,Building Products
WSM,COMPLIANT,NYSE,Homefurnishing Retail
WSO,COMPLIANT,NYSE,Trading Companies & Distributors
WST,COMPLIANT,NYSE,Life Sciences Tools & Services
WTS,COMPLIANT,NYSE,Industrial Machinery & Supplies & Components
WY,COMPLIANT,NYSE,Timber REITs
XOM,COMPLIANT,NYSE,Integrated Oil & Gas
XPO,COMPLIANT,NYSE,Cargo Ground Transportation
XYL,COMPLIANT,NYSE,Industrial Machinery & Supplies & Components
YETI,COMPLIANT,NYSE,Leisure Products
ZBH,NON_COMPLIANT,NYSE,Health Care Equipment
ZBRA,COMPLIANT,NASDAQ,Electronic Equipment & Instruments
ZM,NON_COMPLIANT,NASDAQ,Application Software
ZS,COMPLIANT,NASDAQ,Systems Software
