ticker,status,exchange,subindustry
CRUS,COMPLIANT,NASDAQ,Semiconductors
CRWD,COMPLIANT,NASDAQ,Systems Software
CSCO,COMPLIANT,NASDAQ,Communications Equipment
CSGP,COMPLIANT,NASDAQ,Real Estate Services
CSL,COMPLIANT,NYSE,Building Products
CSX,COMPLIANT,NASDAQ,Rail Transportation
CTAS,COMPLIANT,NASDAQ,Diversified Support Services
CTSH,NON_COMPLIANT,NASDAQ,IT Consulting & Other Services
CTVA,COMPLIANT,NYSE,Fertilizers & Agricultural Chemicals
CVNA,NON_COMPLIANT,NYSE,Automotive Retail
DAL,NON_COMPLIANT,NYSE,Passenger Airlines
DASH,COMPLIANT,NASDAQ,Restaurants
DCI,COMPLIANT,NYSE,Industrial Machinery & Supplies & Components
DD,COMPLIANT,NYSE,Specialty Chemicals
DDOG,COMPLIANT,NASDAQ,Application Software
DDS,COMPLIANT,NYSE,Broadline Retail
DECK,COMPLIANT,NYSE,Footwear
DGX,NON_COMPLIANT,NYSE,Health Care  Services
DHI,COMPLIANT,NYSE,Homebuilding
DHR,COMPLIANT,NYSE,Life Sciences Tools & Services
DINO,NON_COMPLIANT,NYSE,Oil & Gas Refining & Marketing
DKS,COMPLIANT,NYSE,Other Specialty Retail
DLR,NON_COMPLIANT,NYSE,Data Center REITs
DLTR,QUESTIONABLE,NASDAQ,Consumer Staples Merchandise Retail
DOCN,NON_COMPLIANT,NYSE,Internet Services & Infrastructure
DOCU,COMPLIANT,NASDAQ,Application Software
DOV,COMPLIANT,NYSE,Industrial Machinery & Supplies & Components
DOW,NON_COMPLIANT,NYSE,Commodity Chemicals
DOX,COMPLIANT,NASDAQ,IT Consulting & Other Services
DT,COMPLIANT,NYSE,Application Software
DTM,NON_COMPLIANT,NYSE,Oil & Gas Storage & Transportation
DUOL,QUESTIONABLE,NASDAQ,Education Services
DVN,NON_COMPLIANT,NYSE,Oil & Gas Exploration & Production
DXCM,COMPLIANT,NASDAQ,Health Care Equipment
EBAY,QUESTIONABLE,NASDAQ,Broadline Retail
ECG,COMPLIANT,NYSE,Construction & Engineering
ECL,COMPLIANT,NYSE,Specialty Chemicals
EFX,COMPLIANT,NYSE,Research & Consulting Services
EGP,QUESTIONABLE,NYSE,Industrial REITs
EHC,COMPLIANT,NYSE,Health Care Facilities
EL,COMPLIANT,NYSE,Personal Care Products
ELF,COMPLIANT,NYSE,Personal Care Products
ELS,COMPLIANT,NYSE,Single-Family Residential REITs
EME,COMPLIANT,NYSE,Construction & Engineering
EMR,COMPLIANT,NYSE,Electrical Components & Equipment
ENPH,COMPLIANT,NASDAQ,Semiconductor Materials & Equipment
ENSG,COMPLIANT,NASDAQ,Health Care Facilities
ENTG,COMPLIANT,NASDAQ,Semiconductor Materials & Equipment
EOG,COMPLIANT,NYSE,Oil & Gas Exploration & Production
EPAM,COMPLIANT,NYSE,IT Consulting & Other Services
EQIX,COMPLIANT,NASDAQ,Data Center REITs
EQR,NON_COMPLIANT,NYSE,Multi-Family Residential REITs
ESAB,NON_COMPLIANT,NYSE,Industrial Machinery & Supplies & Components
ESI,NON_COMPLIANT,NYSE,Specialty Chemicals
ESTC,COMPLIANT,NYSE,Application Software
EW,COMPLIANT,NYSE,Health Care Equipment
EXE,COMPLIANT,NASDAQ,Oil & Gas Exploration & Production
EXEL,COMPLIANT,NASDAQ,Biotechnology
EXP,COMPLIANT,NYSE,Construction Materials
EXPD,COMPLIANT,NYSE,Air Freight & Logistics
EXPE,NON_COMPLIANT,NASDAQ,"Hotels, Resorts & Cruise Lines"
FANG,NON_COMPLIANT,NASDAQ,Oil & Gas Exploration & Production
FAST,COMPLIANT,NASDAQ,Trading Companies & Distributors
FCN,QUESTIONABLE,NYSE,Research & Consulting Services
FCX,NON_COMPLIANT,NYSE,Copper
FDX,NON_COMPLIANT,NYSE,Air Freight & Logistics
FDXF,NON_COMPLIANT,NYSE,Cargo Ground Transportation
FERG,COMPLIANT,NYSE,Trading Companies & Distributors
FFIV,COMPLIANT,NASDAQ,Communications Equipment
FICO,COMPLIANT,NYSE,Application Software
FIVE,QUESTIONABLE,NASDAQ,Other Specialty Retail
FIX,COMPLIANT,NYSE,Construction & Engineering
FLEX,COMPLIANT,NASDAQ,Electronic Manufacturing Services
FLS,COMPLIANT,NYSE,Industrial Machinery & Supplies & Components
FN,COMPLIANT,NYSE,Electronic Manufacturing Services
FND,COMPLIANT,NYSE,Home Improvement Retail
FORM,COMPLIANT,NASDAQ,Semiconductor Materials & Equipment
FPS,COMPLIANT,NYSE,Heavy Electrical Equipment
FRPT,COMPLIANT,NASDAQ,Packaged Foods & Meats
FSLR,COMPLIANT,NASDAQ,Semiconductors
FTAI,NON_COMPLIANT,NASDAQ,Aerospace & Defense
FTI,COMPLIANT,NYSE,Oil & Gas Equipment & Services
FTNT,COMPLIANT,NASDAQ,Systems Software
FTV,COMPLIANT,NYSE,Industrial Machinery & Supplies & Components
G,NON_COMPLIANT,NYSE,Data Processing & Outsourced Services
GAP,COMPLIANT,NYSE,Apparel Retail
GDDY,COMPLIANT,NYSE,Internet Services & Infrastructure
GEHC,COMPLIANT,NASDAQ,Health Care Equipment
GEV,COMPLIANT,NYSE,Heavy Electrical Equipment
GFS,COMPLIANT,NASDAQ,Semiconductors
GGG,COMPLIANT,NYSE,Industrial Machinery & Supplies & Components
GH,COMPLIANT,NASDAQ,Health Care  Services
GILD,COMPLIANT,NASDAQ,Biotechnology
GLW,COMPLIANT,NYSE,Electronic Components
GLXY,NON_COMPLIANT,NASDAQ,Asset Management & Custody Banks
GMED,COMPLIANT,NYSE,Health Care Equipment
GNRC,COMPLIANT,NYSE,Electrical Components & Equipment
GNTX,COMPLIANT,NASDAQ,Automotive Parts & Equipment
GOOGL,QUESTIONABLE,NASDAQ,Interactive Media & Services
GPC,COMPLIANT,NYSE,Distributors
GRMN,COMPLIANT,NYSE,Consumer Electronics
GSAT,NON_COMPLIANT,NASDAQ,Alternative Carriers
GTES,NON_COMPLIANT,NYSE,Industrial Machinery & Supplies & Components
GTLB,COMPLIANT,NASDAQ,Systems Software
GWW,COMPLIANT,NYSE,Trading Companies & Distributors
GXO,NON_COMPLIANT,NYSE,Air Freight & Logistics
HAL,COMPLIANT,NYSE,Oil & Gas Equipment & Services
HALO,NON_COMPLIANT,NASDAQ,Biotechnology
HAYW,NON_COMPLIANT,NYSE,Building Products
HD,COMPLIANT,NYSE,Home Improvement Retail
HL,NON_COMPLIANT,NYSE,Silver
HPQ,NON_COMPLIANT,NYSE,"Technology Hardware, Storage & Peripherals"
HRB,COMPLIANT,NYSE,Specialized Consumer Services
HSIC,NON_COMPLIANT,NASDAQ,Health Care Distributors
HSY,COMPLIANT,NYSE,Packaged Foods & Meats
HUBB,COMPLIANT,NYSE,Electrical Components & Equipment
HUBS,COMPLIANT,NYSE,Application Software
IBM,NON_COMPLIANT,NYSE,IT Consulting & Other Services
IDXX,COMPLIANT,NASDAQ,Health Care Equipment
IESC,COMPLIANT,NASDAQ,Construction & Engineering
IEX,COMPLIANT,NYSE,Industrial Machinery & Supplies & Components
IFF,QUESTIONABLE,NYSE,Specialty Chemicals
ILMN,COMPLIANT,NASDAQ,Life Sciences Tools & Services
INCY,COMPLIANT,NASDAQ,Biotechnology
INGM,NON_COMPLIANT,NYSE,Technology Distributors
INSM,NON_COMPLIANT,NASDAQ,Biotechnology
IONQ,NON_COMPLIANT,NYSE,"Technology Hardware, Storage & Peripherals"
IONS,NON_COMPLIANT,NASDAQ,Biotechnology
IP,NON_COMPLIANT,NYSE,Paper & Plastic Packaging Products & Materials
IPGP,COMPLIANT,NASDAQ,Electronic Manufacturing Services
IR,COMPLIANT,NYSE,Industrial Machinery & Supplies & Components
ISRG,COMPLIANT,NASDAQ,Health Care Equipment
IT,COMPLIANT,NYSE,IT Consulting & Other Services
ITW,COMPLIANT,NYSE,Industrial Machinery & Supplies & Components
J,COMPLIANT,NYSE,Research & Consulting Services
JAN,NON_COMPLIANT,NYSE,Health Care REITs
JBHT,COMPLIANT,NASDAQ,Cargo Ground Transportation
JBL,COMPLIANT,NYSE,Electronic Manufacturing Services
JCI,COMPLIANT,NYSE,Building Products
JHX,NON_COMPLIANT,NYSE,Construction Materials
JLL,NON_COMPLIANT,NYSE,Real Estate Services
JNJ,COMPLIANT,NYSE,Pharmaceuticals
KD,NON_COMPLIANT,NYSE,IT Consulting & Other Services
KEX,COMPLIANT,NYSE,Marine Transportation
KEYS,COMPLIANT,NYSE,Electronic Equipment & Instruments
KHC,NON_COMPLIANT,NASDAQ,Packaged Foods & Meats
KLAC,COMPLIANT,NASDAQ,Semiconductor Materials & Equipment
KMB,COMPLIANT,NASDAQ,Household Products
KNX,COMPLIANT,NYSE,Cargo Ground Transportation
KVUE,COMPLIANT,NYSE,Personal Care Products
KVYO,COMPLIANT,NYSE,Application Software
LBRDA,NON_COMPLIANT,NASDAQ,Cable & Satellite
LBRDK,NON_COMPLIANT,NASDAQ,Cable & Satellite
LEA,NON_COMPLIANT,NYSE,Automotive Parts & Equipment
LECO,COMPLIANT,NASDAQ,Industrial Machinery & Supplies & Components
LEN,COMPLIANT,NYSE,Homebuilding
LEN-B,COMPLIANT,NYSE,Homebuilding
LFUS,COMPLIANT,NASDAQ,Electronic Components
LH,NON_COMPLIANT,NYSE,Health Care  Services
LII,COMPLIANT,NYSE,Building Products
LIN,COMPLIANT,NASDAQ,Industrial Gases
LINE,NON_COMPLIANT,NASDAQ,Industrial REITs
